Timestamp,gender,What is your age group?,"How often do you plan and book leisure travel (vacations, weekend trips, etc.)?",How much do you spend on a typical trip?,What type of trips do you most enjoy? (Select up to 3),"How often do you use Social media platforms (Instagram, Facebook, TikTok) such as Facebook, Twitter, TikTok, Instagram, Youtube?","Which Social media platforms (Instagram, Facebook, TikTok) Platform do you use the most?","Have you ever come across a sponsored travel post or ad while browsing Social media platforms (Instagram, Facebook, TikTok)?",If Yes: Which platform do you recall seeing sponsored travel content on most often?,"When you see sponsored travel content, how likely are you to take the following actions?",Sponsored travel content helps me discover destinations or experiences I might not have considered otherwise?,Which sources do you typically use FIRST when starting to research a new travel destination?,Which type of travel content do you find most helpful when making booking decisions?,"When researching travel destinations or accommodations, how often do you notice that some content is labeled as 'sponsored,' 'ad,' or 'promoted'?","How much do you agree with this statement: 'I trust user-generated content (reviews, photos from other travelers) more than professionally produced travel content.'",How long does your typical travel planning process take from initial research to final booking?,On which device do you most often research and book travel?,"How often do you seek opinions from friends, family, or online communities before making a travel booking decision?",Which new travel content features would you find most helpful when planning a trip?,"Think about a recent travel booking you made. Describe how different types of content (photos, reviews, ads, recommendations) influenced your final decision. What made certain content more convincing or trustworthy to you?","Based on your experience with travel content and booking websites, what changes would make you more likely to trust and engage with travel recommendations or promotions? What frustrates you most about current travel content?",Name,Email
2025-06-05,Male,60,Less than once per year,more than $2500,"Visiting friends or family, Cultural / historical experiences, City breaks",Never,None At All,No,None,Ignore,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_0,user0_0@example.com
2025-03-21,Female,60,Less than once per year,more than $2500,"Visiting friends or family, City breaks, Wellness / relaxation retreats",Never,None At All,No,None,Ignore,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_1,user0_1@example.com
2025-06-17,Female,60,Less than once per year,more than $2500,"Adventure / outdoor activities, Luxury travel, Cultural / historical experiences",Never,None At All,No,None,Ignore,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_2,user0_2@example.com
2025-03-26,Female,60,Less than once per year,more than $2500,"Budget travel, Beach holidays, Luxury travel",Never,None At All,No,None,Ignore,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_3,user0_3@example.com
2025-03-04,Male,60,Less than once per year,more than $2500,"Luxury travel, Cultural / historical experiences, Wellness / relaxation retreats",Never,None At All,No,None,Ignore,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,Budget calculators or cost breakdowns,Sample.,Sample.,User0_4,user0_4@example.com
2025-02-05,Male,60,Less than once per year,more than $2500,"Luxury travel, Adventure / outdoor activities, Beach holidays",Several times a week,Facebook,Yes,None,Look up separately,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_5,user0_5@example.com
2025-05-03,Male,60,Less than once per year,more than $2500,"Visiting friends or family, Cultural / historical experiences, Adventure / outdoor activities",Several times a week,Facebook,Yes,None,Look up separately,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_6,user0_6@example.com
2025-03-27,Female,60,Less than once per year,more than $2500,"Adventure / outdoor activities, City breaks, Wellness / relaxation retreats",Several times a week,Facebook,Yes,None,Look up separately,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_7,user0_7@example.com
2025-04-21,Female,60,Less than once per year,more than $2500,"Wellness / relaxation retreats, Adventure / outdoor activities, Visiting friends or family",Several times a week,Facebook,Yes,None,Look up separately,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_8,user0_8@example.com
2025-02-20,Female,60,Less than once per year,more than $2500,"City breaks, Budget travel, Adventure / outdoor activities",Several times a week,Facebook,Yes,None,Click link,Agree,Friends and family recommendations,Price comparisons and deals,Always notice,Disagree,1-3 weeks,Laptop,Often,AI itinerary suggestions,Sample.,Sample.,User0_9,user0_9@example.com
